TP9,AF7,AF8,TP10,label
842.5274725,833.6630037,819.1575092,824.3956044,0
831.6483516,836.4835165,830.4395604,819.5604396,0
839.3040293,824.3956044,813.5164835,835.2747253,0
835.2747253,831.2454212,823.1868132,823.992674,0
824.3956044,844.5421245,829.2307692,821.1721612,0
836.0805861,819.5604396,818.3516484,825.2014652,0
829.6336996,842.5274725,832.8571429,819.96337,0
836.0805861,832.8571429,835.6776557,835.2747253,0
848.1684982,834.4688645,804.6520147,832.0512821,0
836.0805861,848.1684982,835.6776557,821.978022,0
837.2893773,844.1391941,844.1391941,823.5897436,0
837.6923077,832.8571429,821.978022,833.2600733,0
839.3040293,833.2600733,839.7069597,840.9157509,0
836.0805861,853.003663,836.4835165,835.6776557,0
834.0659341,831.6483516,815.5311355,820.7692308,0
864.2857143,873.5531136,750.6593407,861.4652015,1
832.0512821,842.9304029,862.6739927,833.2600733,1
830.03663,847.3626374,869.5238095,821.978022,1
832.8571429,846.5567766,832.8571429,822.7838828,1
840.5128205,845.7509158,850.989011,844.5421245,1
813.9194139,849.3772894,846.1538462,810.2930403,1
844.1391941,848.1684982,859.047619,837.6923077,1
834.0659341,829.2307692,829.2307692,831.2454212,1
834.0659341,841.3186813,836.8864469,826.8131868,1
829.2307692,830.8424908,846.1538462,823.1868132,1
840.5128205,852.6007326,848.1684982,840.5128205,1
821.1721612,837.6923077,850.5860806,824.7985348,1
875.1648352,867.1062271,697.4725275,865.8974359,1
842.9304029,844.5421245,740.5860806,842.1245421,1
823.1868132,844.5421245,832.4542125,819.5604396,1
834.4688645,858.2417582,861.0622711,849.3772894,1
810.6959707,890.0732601,868.7179487,834.8717949,1
829.2307692,827.2161172,864.6886447,840.1098901,1
840.9157509,829.6336996,853.8095238,844.1391941,1
827.6190476,861.4652015,867.1062271,842.9304029,1
832.8571429,832.0512821,861.0622711,847.3626374,1
828.4249084,859.047619,856.6300366,837.2893773,1
803.040293,878.7912088,871.9413919,811.0989011,1
831.2454212,816.3369963,873.1501832,845.7509158,1
821.978022,855.018315,859.8534799,836.0805861,1
825.6043956,888.8644689,863.8827839,832.4542125,1
837.2893773,837.6923077,863.8827839,839.7069597,1
823.1868132,870.3296703,850.989011,830.4395604,1
821.1721612,873.1501832,869.1208791,840.5128205,1
842.9304029,830.8424908,864.2857143,846.1538462,1
828.021978,865.0915751,866.3003663,834.4688645,1
821.5750916,875.970696,871.9413919,833.6630037,1
849.7802198,836.8864469,862.2710623,851.3919414,1
836.8864469,850.1831502,853.4065934,848.5714286,1
823.992674,868.3150183,868.3150183,826.8131868,1
836.4835165,816.7399267,870.3296703,844.5421245,1
829.6336996,852.6007326,867.5091575,833.2600733,1
829.6336996,856.2271062,869.5238095,837.6923077,1
844.1391941,828.4249084,854.2124542,841.7216117,1
835.2747253,875.5677656,853.003663,832.0512821,1
836.8864469,864.2857143,865.8974359,836.0805861,1
837.2893773,818.3516484,868.3150183,846.5567766,1
828.8278388,855.018315,864.6886447,827.2161172,1
841.7216117,858.2417582,870.7326007,832.8571429,1
839.7069597,830.8424908,865.0915751,838.9010989,1
832.8571429,864.6886447,845.7509158,838.4981685,1
845.3479853,867.5091575,862.2710623,841.7216117,0
829.6336996,838.0952381,850.5860806,833.6630037,0
840.9157509,866.3003663,859.8534799,832.0512821,0
844.9450549,832.0512821,854.2124542,843.3333333,0
816.7399267,835.6776557,860.2564103,809.0842491,0
843.7362637,868.7179487,855.018315,840.1098901,0
846.959707,817.5457875,857.032967,844.9450549,0
848.1684982,844.9450549,848.974359,837.2893773,0
845.3479853,856.2271062,866.7032967,846.5567766,0
858.6446886,810.6959707,867.5091575,861.0622711,0
850.989011,840.1098901,861.0622711,848.974359,0
846.1538462,867.5091575,851.3919414,846.959707,0
851.3919414,834.4688645,849.3772894,845.7509158,0
838.9010989,850.989011,857.032967,836.4835165,0
863.0769231,873.1501832,848.5714286,855.4212454,0
864.2857143,811.0989011,862.2710623,861.4652015,0
886.043956,832.4542125,893.2967033,898.5347985,0
853.003663,877.1794872,855.018315,840.1098901,0
851.3919414,829.6336996,840.1098901,841.7216117,0
845.7509158,850.989011,857.032967,843.3333333,0
840.9157509,876.7765568,868.3150183,842.5274725,0
847.3626374,831.2454212,857.4358974,849.3772894,0
850.5860806,847.3626374,878.3882784,859.8534799,0
841.3186813,877.985348,847.3626374,844.1391941,0
849.3772894,804.6520147,895.7142857,871.9413919,0
852.1978022,850.989011,857.032967,843.3333333,0
836.8864469,868.7179487,861.4652015,844.9450549,0
884.029304,847.7655678,779.2673993,843.7362637,0
846.5567766,861.0622711,859.8534799,855.018315,0
843.7362637,876.3736264,860.2564103,844.5421245,0
819.96337,841.3186813,845.7509158,818.7545788,1
824.3956044,855.8241758,853.4065934,819.5604396,1
830.8424908,846.5567766,844.1391941,825.6043956,1
829.6336996,858.2417582,861.8681319,830.03663,1
830.4395604,853.4065934,848.974359,820.3663004,1
830.8424908,838.0952381,842.5274725,817.1428571,1
825.6043956,850.1831502,855.4212454,823.1868132,1
830.8424908,851.3919414,847.3626374,820.3663004,1
836.0805861,869.1208791,832.4542125,807.0695971,1
831.6483516,859.8534799,855.4212454,834.8717949,1
828.8278388,859.047619,857.4358974,824.3956044,1
838.0952381,855.4212454,858.2417582,837.2893773,1
827.6190476,875.970696,864.2857143,814.7252747,1
828.4249084,860.2564103,867.1062271,830.8424908,1
838.4981685,844.5421245,835.6776557,825.2014652,1
828.021978,854.2124542,842.5274725,824.7985348,1
829.2307692,857.032967,854.6153846,821.5750916,1
831.2454212,848.1684982,838.9010989,826.007326,1
859.4505495,878.3882784,879.5970696,844.9450549,1
828.4249084,858.2417582,855.018315,830.8424908,1
892.4908425,873.5531136,788.5347985,844.5421245,1
827.2161172,848.974359,851.7948718,821.1721612,1
837.6923077,850.5860806,853.8095238,832.8571429,1
839.7069597,856.2271062,847.7655678,825.6043956,1
832.4542125,865.0915751,855.018315,830.8424908,1
844.5421245,861.0622711,856.2271062,844.1391941,1
830.4395604,841.7216117,850.989011,832.8571429,1
830.8424908,862.6739927,865.4945055,828.4249084,1
838.4981685,859.047619,851.3919414,830.03663,1
839.7069597,850.1831502,850.1831502,835.2747253,1
846.1538462,865.4945055,860.6593407,836.0805861,1
832.4542125,846.1538462,845.3479853,823.1868132,1
846.5567766,849.3772894,855.8241758,837.2893773,1
828.021978,855.018315,845.3479853,818.3516484,1
833.2600733,841.3186813,852.6007326,829.6336996,1
877.1794872,836.8864469,870.3296703,879.5970696,1
834.4688645,862.6739927,863.4798535,839.3040293,1
851.7948718,858.6446886,868.7179487,846.1538462,1
826.8131868,851.7948718,849.3772894,815.5311355,1
817.9487179,848.5714286,852.6007326,821.5750916,1
844.9450549,853.4065934,853.003663,830.8424908,1
823.1868132,858.6446886,835.6776557,797.8021978,1
861.8681319,886.043956,874.3589744,848.974359,1
839.7069597,847.7655678,849.3772894,833.2600733,1
830.4395604,848.974359,854.2124542,831.2454212,1
832.4542125,852.1978022,845.7509158,824.3956044,1
848.1684982,840.5128205,878.7912088,867.1062271,0
813.5164835,857.8388278,840.1098901,805.0549451,0
849.3772894,849.7802198,855.018315,855.8241758,0
836.4835165,854.2124542,849.3772894,837.6923077,0
875.1648352,836.0805861,853.8095238,885.6410256,0
859.047619,836.0805861,894.1025641,889.6703297,0
817.5457875,871.1355311,825.6043956,794.1758242,0
850.5860806,851.3919414,858.2417582,853.003663,0
839.3040293,853.003663,846.5567766,840.5128205,0
844.1391941,857.032967,868.7179487,838.9010989,0
778.0586081,855.4212454,834.8717949,769.1941392,0
840.1098901,842.1245421,831.6483516,837.2893773,0
845.7509158,877.1794872,816.3369963,812.7106227,0
835.6776557,858.6446886,859.047619,831.2454212,0
838.0952381,842.9304029,849.3772894,840.9157509,0
841.3186813,865.4945055,861.8681319,847.7655678,0
834.8717949,853.8095238,851.7948718,834.4688645,0
837.2893773,844.9450549,848.1684982,840.1098901,0
845.7509158,863.0769231,831.6483516,826.007326,0
841.7216117,846.959707,862.2710623,844.9450549,0
849.7802198,845.7509158,849.7802198,842.5274725,0
844.9450549,862.6739927,857.4358974,834.0659341,0
793.3699634,869.9267399,817.1428571,765.970696,0
838.0952381,846.5567766,842.5274725,832.4542125,0
843.7362637,869.1208791,828.4249084,819.1575092,0
846.959707,862.6739927,864.2857143,842.5274725,0
836.4835165,832.0512821,857.4358974,839.7069597,0
833.2600733,857.4358974,831.2454212,816.3369963,0
879.5970696,880,812.7106227,838.9010989,0
864.2857143,882.014652,797.3992674,828.4249084,0
842.1245421,849.3772894,869.5238095,847.7655678,0
844.1391941,860.2564103,875.970696,846.1538462,0
850.1831502,853.003663,848.5714286,848.974359,0
860.2564103,849.7802198,863.4798535,864.2857143,0
845.7509158,855.018315,855.018315,840.5128205,0
886.8498168,808.2783883,909.8168498,929.1575092,0
836.8864469,857.032967,844.9450549,846.5567766,0
